Divisional_Office,Zone_Office,Area_Office,Branch_Code,Branch_Name,Loanee,Member,Loan_Amount,Outstanding_Pr
OP Domain Barisal,Barisal Zone,Ujirpur Region,647,Borishal,95,95,"7,170,000.00","7,103,078.00"
OP Domain Barisal,Barisal Zone,Rajapur Region,648,Jhalokati,72,72,"6,370,000.00","6,308,527.00"
OP Domain Barisal,Barisal Zone,Patuakhali Region,652,Kalapara,111,111,"7,154,000.00","7,048,918.00"
OP Domain Barisal,Barisal Zone,Patuakhali Region,653,Dumki,64,64,"5,090,000.00","5,037,348.00"
OP Domain Barisal,Barisal Zone,Ujirpur Region,716,Ujirpur,99,99,"7,820,000.00","7,757,282.00"
OP Domain Barisal,Barisal Zone,Ujirpur Region,735,Gouronodi,90,90,"9,920,000.00","9,885,266.00"
OP Domain Barisal,Barisal Zone,Ujirpur Region,757,Hizla,72,72,"5,835,000.00","5,792,171.00"
OP Domain Barisal,Barisal Zone,Patuakhali Region,768,Potuakhali,99,99,"8,865,000.00","8,806,573.00"
OP Domain Barisal,Barisal Zone,Patuakhali Region,778,Baufal,74,74,"6,550,000.00","6,506,637.00"
OP Domain Barisal,Barisal Zone,Patuakhali Region,783,Amtoli,107,107,"9,185,000.00","9,103,040.00"
OP Domain Barisal,Barisal Zone,Ujirpur Region,787,Sahebrampur,57,57,"5,510,000.00","5,460,590.00"
OP Domain Barisal,Barisal Zone,Patuakhali Region,790,Doshmina,77,77,"7,265,000.00","7,173,850.00"
OP Domain Barisal,Barisal Zone,Patuakhali Region,809,Barguna,52,52,"3,725,000.00","3,710,731.00"
OP Domain Barisal,Barisal Zone,Ujirpur Region,812,Muladi,64,64,"6,390,000.00","6,363,122.00"
OP Domain Barisal,Barisal Zone,Rajapur Region,846,Bhandaria,59,59,"4,965,000.00","4,915,554.00"
OP Domain Barisal,Barisal Zone,Rajapur Region,847,Rajapur-3,61,61,"4,915,000.00","4,850,401.00"
OP Domain Barisal,Barisal Zone,Rajapur Region,849,Pirojpur,56,56,"4,235,000.00","4,180,244.00"
OP Domain Barisal,Barisal Zone,Ujirpur Region,880,Babuganj,62,62,"4,665,000.00","4,599,515.00"
OP Domain Barisal,Faridpur Zone,Faridpur Region,340,Faridpur-2,102,102,"8,085,000.00","8,010,667.00"
OP Domain Barisal,Faridpur Zone,Boalmari Region,425,Alphadanga,75,75,"6,705,000.00","6,660,975.00"
OP Domain Barisal,Faridpur Zone,Boalmari Region,484,Modhukhali-1,78,78,"8,000,000.00","7,966,926.00"
OP Domain Barisal,Faridpur Zone,Faridpur Region,532,Faridpur-3,99,99,"7,400,000.00","7,327,214.00"
OP Domain Barisal,Faridpur Zone,Bhanga Region,537,Bhanga-1,76,76,"8,000,000.00","7,960,633.00"
OP Domain Barisal,Faridpur Zone,Boalmari Region,542,Boalmari-1,81,81,"8,480,000.00","8,378,187.00"
OP Domain Barisal,Faridpur Zone,Faridpur Region,545,Goalundo,84,84,"8,010,000.00","7,986,109.00"
OP Domain Barisal,Faridpur Zone,Bhanga Region,715,Bhanga-2,72,72,"7,110,000.00","7,098,719.00"
OP Domain Barisal,Faridpur Zone,Boalmari Region,730,Modhukhali-2,57,57,"5,470,000.00","5,449,205.00"
OP Domain Barisal,Faridpur Zone,Bhanga Region,732,Moksedpur,69,69,"5,865,000.00","5,817,878.00"
OP Domain Barisal,Faridpur Zone,Bhanga Region,734,Sodorpur,54,54,"5,840,000.00","5,810,244.00"
OP Domain Barisal,Faridpur Zone,Boalmari Region,745,Boalmari-2,58,58,"5,065,000.00","5,032,923.00"
OP Domain Barisal,Faridpur Zone,Bhanga Region,764,Surjonagor,38,38,"4,295,000.00","4,283,163.00"
OP Domain Barisal,Faridpur Zone,Faridpur Region,794,Kanaipur,60,60,"6,210,000.00","6,197,168.00"
OP Domain Barisal,Faridpur Zone,Bhanga Region,814,Hatkrishnapur,45,45,"3,750,000.00","3,741,484.00"
OP Domain Barisal,Faridpur Zone,Faridpur Region,815,Charbhadrasan,43,43,"4,240,000.00","4,228,939.00"
OP Domain Barisal,Madaripur Zone,Shariatpur Region,535,Madaripur,108,108,"12,455,000.00","12,417,612.00"
OP Domain Barisal,Madaripur Zone,Mostofapur Region,536,Tekerhat,111,111,"19,675,000.00","19,629,490.00"
OP Domain Barisal,Madaripur Zone,Shariatpur Region,543,Shariatpur,63,63,"8,420,000.00","8,387,820.00"
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,586,Noria-1,74,74,"8,215,000.00","8,148,496.00"
OP Domain Barisal,Madaripur Zone,Mostofapur Region,587,Kalkini-2,85,85,"11,100,000.00","11,078,359.00"
OP Domain Barisal,Madaripur Zone,Shariatpur Region,700,Jajira,64,64,"8,190,000.00","8,172,742.00"
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,704,Noria-2,71,71,"8,225,000.00","8,202,029.00"
OP Domain Barisal,Madaripur Zone,Shariatpur Region,705,Shibchar,65,65,"8,445,000.00","8,410,597.00"
OP Domain Barisal,Madaripur Zone,Shariatpur Region,717,Chikondi,64,64,"7,340,000.00","7,315,007.00"
OP Domain Barisal,Madaripur Zone,Mostofapur Region,736,Kalkini-1,74,74,"11,015,000.00","10,999,293.00"
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,746,Damudya,95,95,"7,980,000.00","7,928,898.00"
OP Domain Barisal,Madaripur Zone,Mostofapur Region,758,Rajoir,63,63,"11,815,000.00","11,803,741.00"
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,775,Sakhipur-2,114,114,"10,780,000.00","10,724,580.00"
OP Domain Barisal,Madaripur Zone,Mostofapur Region,810,Mostofapur,55,55,"12,860,000.00","12,856,239.00"
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,811,Bhedarganj,69,69,"7,330,000.00","7,315,399.00"
OP Domain Barisal,Madaripur Zone,Mostofapur Region,813,Pachkhola,73,73,"14,875,000.00","14,840,819.00"
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,835,Gosairhat,50,50,"5,285,000.00","5,248,826.00"
OP Domain Bogra,Bogra Central Zone,Central Region,2,Pollimangal,300,300,"23,525,000.00","23,428,323.00"
OP Domain Bogra,Bogra Central Zone,Central Region,3,Nishindara,255,255,"15,857,000.00","15,700,590.00"
OP Domain Bogra,Bogra Central Zone,Central Region,6,Kendrio-1,221,221,"20,239,000.00","20,100,002.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,10,Bagbari,240,240,"15,227,000.00","15,026,671.00"
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,11,Dorgahat,238,238,"17,486,000.00","17,361,114.00"
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,12,Dupchachiya,201,201,"11,905,000.00","11,788,697.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,15,Ashekpur,111,111,"12,990,000.00","12,922,193.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,19,Majhira,111,111,"9,420,000.00","9,343,795.00"
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,20,Adomdighi,142,142,"10,579,000.00","10,465,139.00"
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,36,Altafnagor,187,187,"13,520,000.00","13,441,374.00"
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,38,Durgapur-1,162,162,"10,690,000.00","10,644,275.00"
OP Domain Bogra,Bogra Central Zone,Central Region,47,Godarpara,176,176,"14,733,000.00","14,635,167.00"
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,174,Bogura Town,112,112,"25,590,000.00","25,580,708.00"
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,293,Talora,160,160,"9,215,000.00","9,164,450.00"
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,304,Jianagor,127,127,"6,345,000.00","6,329,291.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,435,Bogura Sadar,160,160,"20,095,000.00","19,986,710.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,454,Banani,104,104,"11,800,000.00","11,760,865.00"
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,502,Puran Bogura,178,178,"19,560,000.00","19,439,845.00"
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,562,Tindighi,146,146,"11,195,000.00","11,126,475.00"
OP Domain Bogra,Bogra Central Zone,Central Region,806,Kendrio-2,217,217,"17,632,000.00","17,540,889.00"
OP Domain Bogra,Bogra Central Zone,Central Region,901,Central Branch,74,74,"5,235,000.00","5,193,475.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,904,Shahjahanpur Branch,72,72,"6,190,000.00","6,133,475.00"
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,905,Kahalu Branch,90,90,"8,170,000.00","8,126,970.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,908,Fultola Branch,62,62,"5,840,000.00","5,800,088.00"
