Domain,Zone,Region,Branch_Name,Branch_Code,New_Member_Admission_August_2025,Member_Cancellation_August_2025,Borrower_August_2025,Fully_Paid_Borrower_August_2025,Reg_Loan_Recoverable_August_2025,Recovered_Regular_August_2025,Recovered_Due_August_2025,New_Due_Amount_August_2025,August_2025_Total Due,August_2025_Total_Due_Loanee,As_on_August_2025_Bad Loan_365,As_on_August_2025_Overdue_Loan_Outstanding,As_on_August_2025_Overdue_Loan_Outstanding,As on August_2025 Cummulative Loan Disbursement,As_on_August_2025_Cummulative_Loan_Collection
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Mohasthan-1,1,172,169,379,429,16259392,15661443,113394,597949,12207657,938,8210680,14563310,14563310,507042000000,457708000000
OP Domain Bogra,Bogra Central Zone,Central Region,Pollimangal,2,105,106,269,261,12169187,11996797,58084,172390,4021522,324,2655774,5077412,5077412,412590000,400803843
OP Domain Bogra,Bogra Central Zone,Central Region,Nishindara,3,123,115,252,246,10852251,10542939,49454,309312,4611328,320,2416715,7693704,7693704,354427000,341634716
OP Domain Bogra,Bogra South Zone,Dhunat Region,Mothurapur,4,116,85,168,146,9493763,9118582,124894,375181,9163503,903,6132620,11627721,11627721,287555000,269453511
OP Domain Bogra,Bogra South Zone,Dhunat Region,Dhunat,5,74,63,148,138,7114877,6741219,97279,373659,11447611,1097,7696067,13007889,13007889,208319000,204114065
OP Domain Bogra,Bogra Central Zone,Central Region,Kendrio-1,6,97,91,220,210,10955893,10231821,72089,724072,11813842,851,7191584,16388639,16388639,389259000,378593379
OP Domain Bogra,Bogra North Zone,Baluahat Region,Mokamtola,7,112,85,193,176,8891285,8121681,114509,769603,23042155,1834,11586705,26258647,26258647,305144000,308410470
OP Domain Bogra,Bogra North Zone,Gabtoli Region,Hatfulbari,8,106,106,146,151,8643610,8130815,134614,512795,9948304,1110,5284680,12158581,12158581,286688000,291301297
OP Domain Bogra,Bogra North Zone,Baluahat Region,Baluahat,9,77,60,127,111,6717892,6262281,120062,455610,15759770,1529,12143022,17671948,17671948,211337000,209589434
OP Domain Bogra,Bogra Central Zone,Banani Region,Bagbari,10,117,114,272,265,12412236,11832391,105570,579845,12714577,1138,7998974,15383130,15383130,386255000,384015364
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,Dorgahat,11,134,119,285,285,14633855,14088166,152503,545689,9938409,1003,5489374,12356689,12356689,432597000,422067410
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Dupchachiya,12,101,71,211,183,9896888,9723950,62961,172938,2862622,272,1756225,3793910,3793910,295050000,285683333
